symbol,name,exchange,market_category,test_issue,financial_status,round_lot_size,etf,nextshares,source_file
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AHG,Akso Health Group - American Depositary Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIA,iShares Asia 50 ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AIFD,TCW Artificial Intelligence ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ,S,N,D,100,N,N,nasdaqlisted.txt
AIIOW,Robo.ai Inc. - Warrant,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIMD,"Ainos, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIMDW,"Ainos, Inc. - warrants",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AIPI,REX AI Equity Premium Income ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AIPO,Defiance AI & Power Infrastructure ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AIQ,Global X Artificial Intelligence & Technology ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,S,N,D,100,N,N,nasdaqlisted.txt
AIRG,"Airgain, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIRJW,AirJoule Technologies Corporation - Warrant,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AIRR,First Trust RBA American Industrial Renaissance ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AIRT,"Air T, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIRTP,"Air T, Inc. - Trust Preferred Securities",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AISPW,"Airship AI Holdings, Inc - Warrants",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AIXI,XIAO-I Corporation - American Depositary Shares,NASDAQ,G,N,D,100,N,N,nasdaqlisted.txt
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AKAN,Akanda Corp. - Common Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AKTS,"Aktis Oncology, Inc. - Common stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AKTX,Akari Therapeutics Plc - American Depositary Shares,NASDAQ,S,N,D,100,N,N,nasdaqlisted.txt
ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALAR,Alarum Technologies Ltd. - American Depositary Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ALBG,Leverage Shares 2X Long ALB Daily ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
ALBT,Avalon GloboCare Corp. - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ALCO,"Alico, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ALCYU,Alchemy Investments Acquisition Corp 1 - Units,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ALDFU,Aldel Financial II Inc. - Units,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ALDFW,Aldel Financial II Inc. - Warrants,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ALEC,"Alector, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ALFUU,Centurion Acquisition Corp. - Unit,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ALFUW,Centurion Acquisition Corp. - Warrant,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALGN,"Align Technology, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ALGT,Allegiant Travel Company - Common Stock,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALIL,Argent Focused Small Cap ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
ALIS,Calisa Acquisition Corp - Ordinary shares,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ALISR,Calisa Acquisition Corp - Right,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ALISU,Calisa Acquisition Corp - Units,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ALKS,Alkermes plc - Ordinary Shares,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALKT,"Alkami Technology, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALLR,"Allarity Therapeutics, Inc. - Common stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ALLT,Allot Ltd. - Ordinary Shares,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALLW,SPDR Bridgewater All Weather ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
ALM,Almonty Industries Inc. - Common Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ALMS,Alumis Inc. - Common Stock,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ALMU,"Aeluma, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ALNT,Allient Inc. - Common Stock,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAQ,Q,N,N,40,N,N,nasdaqlisted.txt
ALOT,"AstroNova, Inc. - Common Stock",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ALOVU,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Units",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
